pdf_page,book_page,number,cargo_name,parent_group,cas,marpol,fosfa,niop,eu,rel_density,solubility_c,boil_point_c,melt_point_c,viscosity_mpas,flash_point_c,static_accumulator,is_group_heading,raw_details
524,521,1,ACETICACID,,64-19-7,Z,A,L1,A,"1,05",COMPLETE,118,17,"1,31",40,,no,"CAS: 64-19-7 | MARPOL: Z | FOSFA: A | NIOP: L1 | EU: A REL. DENSITY: 1,05 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 118 MELT. POINT [°C]: 17 | VISCOSITY [MPA*S]: 1,31 | FLASH POINT [°C]: 40"
524,521,2,ACETICACIDANHYDRIDE,,108-24-7,Z,A,L2,A,"1,082",COMPLETE,140,-73,"0,971",48,,no,"CAS: 108-24-7 | MARPOL: Z | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 1,082 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 140 MELT. POINT [°C]: -73 | VISCOSITY [MPA*S]: 0,971 | FLASH POINT [°C]: 48"
524,521,3,ACETONE,,67-64-1,Z,A,L2,A,"0,791",COMPLETE,56,-95,"0,337",-17,,no,"CAS: 67-64-1 | MARPOL: Z | FOSFA: A |NIOP: L2 | EU: A REL. DENSITY: 0,791 SOLUBILITY [°C]: COMPLETE BOIL. POINT [°C]: 56 MELT. POINT [°C]: -95 | VISCOSITY [MPA*S]: 0,337 | FLASH POINT [°C]: -17"
524,521,4,ACETONECYANOHYDRIN,,75-86-5,Y,B,,,"0,932",COMPLETE,119,-20,"3,9",74,,no,"CAS: 75-86-5 | MARPOL: Y | FOSFA: B REL. DENSITY: 0,932 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 119 MELT. POINT [°C]: -20 | VISCOSITY [MPA*S]: 3,9 | FLASH POINT [°C]: 74"
524,521,5,ACETONITRILE,,75-05-8,Z,,,,"0,782",COMPLETE,81,-45,"0,375",2,,no,"CAS: 75-05-8 | MARPOL: Z REL. DENSITY: 0,782 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 81 MELT. POINT [°C]: -45 | VISCOSITY [MPA*S]: 0,375 | FLASH POINT [°C]: 2"
524,521,6,"ACID OIL MIXTURE FROM SOYABEAN, CORN (MAIZE) AND SUNFLOWER OIL",,,Y,,,,"0,93 (0,9-0,95)",INSOLUBLE,,20,49 (@30°C),,,no,"REFINING MARPOL: Y REL. DENSITY: 0,93 (0,9-0,95) | SOLUBILITY [°C]: INSOLUBLE MELT. POINT [°C]: 20 | VISCOSITY [MPA*S]: 49 (@30°C)"
525,522,7,ACRYLICACID,,79-10-7,Y,B,,,"1,05",COMPLETE,141,13,"1,2",49,,no,"CAS: 79-10-7 | MARPOL: Y | FOSFA: B REL. DENSITY: 1,05 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 141 MELT. POINT [°C]: 13 | VISCOSITY [MPA*S]: 1,2 | FLASH POINT [°C]: 49"
525,522,8,ACRYLONITRILE,,107-13-1,Y,B,,,"0,806","7,3",77,-82,"0,4",0,,no,"CAS: 107-13-1 MARPOL: Y FOSFA: B REL. DENSITY: 0,806 | SOLUBILITY [°C]: 7,3 | BOIL. POINT [°C]: 77 MELT. POINT [°C]: -82 | VISCOSITY [MPA*S]: 0,4 | FLASH POINT [°C]: 0"
525,522,9,ADIPONITRILE,,111-69-3,Z,B,,,"0,97","4,5",93,1,3,93,,no,"CAS: 111-69-3 MARPOL: Z | FOSFA: B REL. DENSITY: 0,97 | SOLUBILITY [°C]: 4,5 | BOIL. POINT [°C]: 93 MELT. POINT [°C]: 1 | VISCOSITY [MPA‘S]: 3 | FLASH POINT [°C]: 93"
525,522,10,ALCOHOL ETHOXYLATES,,,,,,,,,,,,,,yes,
525,522,10,ALCOHOL (C12-C15) POLY (20+) ETHOXYLATE,ALCOHOL ETHOXYLATES,,Y,,,,"0,925",COMPLETE,,6,"17,58",204,,no,"MARPOL: Y REL. DENSITY: 0,925 | SOLUBILITY [°C]: COMPLETE MELT. POINT [°C]: 6 | VISCOSITY [MPA*S]: 17,58 | FLASH POINT [°C]: 204"
525,522,10,ALCOHOL (C12-C15) POLY (7-19) ETHOXYLATES,ALCOHOL ETHOXYLATES,68551-13-3,Y,,,,"0,958 (@ 50 °C)",10,,21,21 (@ 50 DEG C),198,,no,"CAS: 68551-13-3 | MARPOL: Y REL. DENSITY: 0,958 (@ 50 °C) | SOLUBILITY [°C]: 10 MELT. POINT [°C]: 21 | VISCOSITY [MPA*S]: 21 (@ 50 DEG C) | FLASH POINT [°C]: 198"
525,522,10,ALCOHOL(C12-C15)POLY(1-6)ETHOXYLATES,ALCOHOL ETHOXYLATES,,Y,,,,"0,87",SLIGHT,250,11,26,140,,no,"MARPOL: Y REL. DENSITY: 0,87 | SOLUBILITY [°C]: SLIGHT | BOIL. POINT [°C]: 250 MELT. POINT [°C]: 11 | VISCOSITY [MPA*S]: 26 | FLASH POINT [°C]: 140"
525,522,10,NEODOL 23-1 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,873 (@40°C)","0,5",254,1,35,148,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,873 (@40°C) | SOLUBILITY [°C]: 0,5 | BOIL. POINT [°C]: 254 MELT. POINT [°C]: 1 |VISCOSITY [MPA*S]: 35 | FLASH POINT [°C]: 148"
526,523,10,NEODOL 23-2 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,892 (@40°C)","0,5",,2,35,148,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,892 (@40°C) | SOLUBILITY [°C]: 0,5 MELT. POINT [°C]: 2 | VISCOSITY [MPA*S]: 35 | FLASH POINT [°C]: 148"
526,523,10,NEODOL 23-3 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,903 (@40°C)",SLIGHT,,0,"14,45 (@40°C)",154,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,903 (@40°C) | SOLUBILITY [°C]: SLIGHT MELT. POINT [°C]: 0 | VISCOSITY [MPA*S]: 14,45 (@40°C) | FLASH POINT [°C]: 154"
526,523,10,NEODOL 23-5 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,922 (@25°C)",SLIGHT,255,"1,1",,152,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,922 (@25°C) | SOLUBILITY [°C]: SLIGHT | BOIL. POINT [°C]: 255 MELT. POINT [°C]: 1,1 | FLASH POINT [°C]: 152"
526,523,10,NEODOL 23-6.5 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,969 (@40°C)",COMPLETE,,18,75,172,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,969 (@40°C) | SOLUBILITY [°C]: COMPLETE MELT. POINT [°C]: 18 | VISCOSITY [MPA*S]: 75 | FLASH POINT [°C]: 172"
526,523,10,NEODOL 25-3 (SHELL),ALCOHOL ETHOXYLATES,68131-39-5,Y,,,,"0,921 (@25°C)",INSOLUBLE,260,5,50,157,,no,"CAS: 68131-39-5 | MARPOL: Y REL. DENSITY: 0,921 (@25°C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 260 MELT. POINT [°C]: 5 | VISCOSITY [MPA*S]: 50 | FLASH POINT [°C]: 157"
526,523,10,NEODOL 25-7 (SHELL),ALCOHOL ETHOXYLATES,68131-39-5,Y,,,,"0,97 (@40°C)",COMPLETE,260,25,33 (@40°C),186,,no,"CAS: 68131-39-5 | MARPOL: Y REL. DENSITY: 0,97 (@40°C) | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 260 MELT. POINT [°C]: 25 | VISCOSITY [MPA*S]: 33 (@40°C) | FLASH POINT [°C]: 186"
526,523,10,NEODOL 25-9 (SHELL),ALCOHOL ETHOXYLATES,68131-39-5,Y,,,,"0,992 (@40°C)",COMPLETE,,25,50 (@38°C),190,,no,"CAS: 68131-39-5 | MARPOL: Y REL. DENSITY: 0,992 (@40°C) | SOLUBILITY [°C]: COMPLETE MELT. POINT [°C]: 25 | VISCOSITY [MPA*S]: 50 (@38°C) | FLASH POINT [°C]: 190"
526,523,10,NEODOL 45-7 (SHELL),ALCOHOL ETHOXYLATES,68951-67-7,Y,,,,"0,969 (@40°C)",SLIGHT,260,9,50 (@38°C),190,,no,"CAS: 68951-67-7 | MARPOL: Y REL. DENSITY: 0,969 (@40°C) | SOLUBILITY [°C]: SLIGHT | BOIL. POINT [°C]: 260 MELT. POINT [°C]: 9 | VISCOSITY [MPA*S]: 50 (@38°C) | FLASH POINT [°C]: 190"
527,524,11,ALCOHOL MIXTURES (C13 AND ABOVE),,,Y,A,,,"0,8 (APROX.)",INSOLUBLE,200,35,"10,8",135,,no,"MARPOL: Y | FOSFA: A REL. DENSITY: 0,8 (APROX.) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 200 MELT. POINT [°C]: 35 | VISCOSITY [MPA*S]: 10,8 | FLASH POINT [°C]: 135"
527,524,12,ALKYLBENZENESULPHONICACIDS,,27176-87-0,Y,,,,1,COMPLETE,315,10,1600 (APROX.),200,,no,CAS: 27176-87-0 | MARPOL: Y REL. DENSITY: 1 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 315 MELT. POINT [°C]: 10 | VISCOSITY [MPA*S]: 1600 (APROX.) | FLASH POINT [°C]: 200
527,524,13,ALLYLALCOHOL,,107-18-6,Y,,,,"0,85",COMPLETE,97,-129,"1,4",21,,no,"CAS: 107-18-6 MARPOL: Y REL. DENSITY: 0,85 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 97 MELT. POINT [°C]: -129 | VISCOSITY [MPA*S]: 1,4 | FLASH POINT [°C]: 21"
527,524,14,ALLYLCHLORIDE,,107-05-1,Y,,,,"0,94","0,3",45,-135,"0,33",-29,YES,no,"CAS: 107-05-1 | MARPOL: Y REL. DENSITY: 0,94 | SOLUBILITY [°C]: 0,3 | BOIL. POINT [°C]: 45 MELT. POINT [°C]: -135 | VISCOSITY [MPA*S]: 0,33 | FLASH POINT [°C]: -29 | STATIC ACCUMULATOR: YES"
527,524,15,AMINOETHYLETHANOLAMINE,,111^1-1,Z,,,,"1,03",COMPLETE,244,-45,135,127,,no,"CAS: 111^1-1 | MARPOL: Z REL. DENSITY: 1,03 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 244 MELT. POINT [°C]: -45 | VISCOSITY [MPA*S]: 135 | FLASH POINT [°C]: 127"
