pdf_page,book_page,synonym_name,verwey_name,number,detail_cargo_name,detail_parent_group,cas,marpol,fosfa,niop,eu,rel_density,solubility_c,boil_point_c,melt_point_c,viscosity_mpas,flash_point_c,static_accumulator,detail_pdf_page,detail_book_page,detail_match_type
52,49,AAH,ACETICACIDANHYDRIDE,2,ACETICACIDANHYDRIDE,,108-24-7,Z,A,L2,A,"1,082",COMPLETE,140,-73,"0,971",48,,524,521,exact_verwey
52,49,ABSORBENT NOVO,NAPHTHA,260,NAPHTHA,,64742-95-6,A1,,,,"0,85 (LOWERLIMIT)",UNKNOWN,130,,,15,YES,567,564,exact_verwey
52,49,AC,ALLYLCHLORIDE,14,ALLYLCHLORIDE,,107-05-1,Y,,,,"0,94","0,3",45,-135,"0,33",-29,YES,527,524,exact_verwey
52,49,ACEDIMETHYLAMIDE,DIMETHYLACETAMIDE,103,DIMETHYLACETAMIDE,,127-19-5,Z,,,,"0,94",COMPLETE,166,-20,"0,92",66,,541,538,exact_verwey
52,49,ACEITE CRUDO DE SOJA (S),SOYABEANOIL,371,SOYABEANOIL,,8001-22-7,Y,A,L1,A,"0,92",INSOLUBLE,250,-10,60,320,,592,589,exact_verwey
52,49,ACETALDEHYDE CYANOHYDRIN,LACTONITRILE SOLUTION (80% OR LESS),214,LACTONITRILE SOLUTION (80% OR LESS),,78-97-7,Y,,,,"0,99",COMPLETE,182,-40,,77,,560,557,exact_verwey
52,49,ACETALDEHYDECYANOHYDRIN,LACTONITRILE SOLUTION (80% OR LESS),214,LACTONITRILE SOLUTION (80% OR LESS),,78-97-7,Y,,,,"0,99",COMPLETE,182,-40,,77,,560,557,exact_verwey
52,49,ACETALDEHYDE TRIMER,PARALDEHYDE,318,PARALDEHYDE,,123-63-7,Z,,,,"0,99",PARTLY SOL.,124,12,,17,,579,576,exact_verwey
52,49,ACETATE OF AMYL,AMYLACETATES (MIXED ISOMERS),17,AMYLACETATES (MIXED ISOMERS),,628-63-7,Y,,,,"0,9","0,2",121,-50,,21 TOP MENU 524,,527,524,exact_verwey
52,49,1-ACETHOXYETHYLEN,VINYLACETATE,427,VINYLACETATE,,108-05-4,Y,B,,,"0,934",2,73,-93,"0,4",-4,YES,601,598,exact_verwey
52,49,1-ACETHOXYETHYLENE,VINYLACETATE,427,VINYLACETATE,,108-05-4,Y,B,,,"0,934",2,73,-93,"0,4",-4,YES,601,598,exact_verwey
52,49,1-ACETHOXYPROPAN,NORM-PROPYLACETATE,289,NORM-PROPYLACETATE,,109-60-4,Y,A,L2,A,"0,888",2,"101,5",-93,"0,6",12,YES,572,569,exact_verwey
53,50,1-ACETHOXYPROPANE,NORM-PROPYLACETATE,289,NORM-PROPYLACETATE,,109-60-4,Y,A,L2,A,"0,888",2,"101,5",-93,"0,6",12,YES,572,569,exact_verwey
53,50,ACETIC ACID,ACETICACID,1,ACETICACID,,64-19-7,Z,A,L1,A,"1,05",COMPLETE,118,17,"1,31",40,,524,521,exact_verwey
53,50,ACETICACID,ACETICACID,1,ACETICACID,,64-19-7,Z,A,L1,A,"1,05",COMPLETE,118,17,"1,31",40,,524,521,exact_verwey
53,50,"ACETICACID-1,1- DIMETHYLETHYLESTER",BUTYLACETATES,37,BUTYLACETATES,,,,,,,,,,,,,,531,528,exact_verwey
53,50,ACETICACID-1-METHYLETHYLESTER,ISOPROPYLACETATE,207,ISOPROPYLACETATE,,108-21-4,Z,,,,"0,872",3,89,-74,"0,53",5,YES,559,556,exact_verwey
53,50,ACETICACID-2-METHYLPR0PYLESTER,BUTYLACETATES,37,BUTYLACETATES,,,,,,,,,,,,,,531,528,exact_verwey
53,50,ACETICACIDANHYDRIDE,ACETICACIDANHYDRIDE,2,ACETICACIDANHYDRIDE,,108-24-7,Z,A,L2,A,"1,082",COMPLETE,140,-73,"0,971",48,,524,521,exact_verwey
53,50,ACETICACIDBENZYLESTER,BENZYLACETATE,26,BENZYLACETATE,,140-11-4,Y,,,,"1,1","0,31",214,-51,,102,,530,527,exact_verwey
53,50,ACETICACIDDIMETHYLAMIDE,DIMETHYLACETAMIDE,103,DIMETHYLACETAMIDE,,127-19-5,Z,,,,"0,94",COMPLETE,166,-20,"0,92",66,,541,538,exact_verwey
53,50,ACETICACIDETHENYLESTER,VINYLACETATE,427,VINYLACETATE,,108-05-4,Y,B,,,"0,934",2,73,-93,"0,4",-4,YES,601,598,exact_verwey
53,50,ACETIC ACID GLACIAL,ACETICACID,1,ACETICACID,,64-19-7,Z,A,L1,A,"1,05",COMPLETE,118,17,"1,31",40,,524,521,exact_verwey
53,50,ACETICACIDISOPROPYLESTER,ISOPROPYLACETATE,207,ISOPROPYLACETATE,,108-21-4,Z,,,,"0,872",3,89,-74,"0,53",5,YES,559,556,exact_verwey
53,50,ACETICACIDMETHOXYPROPYLETHER,PROPYLENEGLYCOLMONOMETHYLETH ERACETATE,348,PROPYLENEGLYCOLMONOMETHYLETHERACETATE,,108-65-6,Z,,,,"0,967",19,143,-65,,45,,585,582,exact_verwey
53,50,ACETICACIDMETHYLESTER,METHYLACETATE,237,METHYLACETATE,,79-20-9,Z,A,L2,A,"0,9",25,57,-98,"0,37 | FLASH POINT [°CJ: -10",,,564,561,exact_verwey
53,50,ACETICACIDPHENYLMETHYLESTER,BENZYLACETATE,26,BENZYLACETATE,,140-11-4,Y,,,,"1,1","0,31",214,-51,,102,,530,527,exact_verwey
