pdf_page,book_page,synonym_name,verwey_name,number,detail_cargo_name,detail_parent_group,detail_match_type
60,57,AMYL ALCOHOL A,MYLALCOHOLS,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,number_only
60,57,AMYLALCOHOL A,MYLALCOHOLS,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,number_only
60,57,AMYLALCOHOLS A,MYLALCOHOLS,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,number_only
60,57,AMYLENEHYDRATE A,MYLALCOHOLS,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,number_only
60,57,AMYLENHYDRAT A,MYLALCOHOLS,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,number_only
60,57,AMYL HYDRATE A,MYLALCOHOLS,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,number_only
65,62,"1DECYL,2-BENZENEDICARBOXYLICOCTYLESTERA","CID,PHTHALATES",328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
73,70,BUTYLETHANOATE B,UTYLACETATES,37,ISOBUTYLACETATE,BUTYLACETATES,number_only
73,70,BUTYLICESTER B,UTYLACETATES,37,ISOBUTYLACETATE,BUTYLACETATES,number_only
73,70,BUTYLIUMACETICUM B,UTYLACETATES,37,ISOBUTYLACETATE,BUTYLACETATES,number_only
73,70,BUTYLPHTHALAT P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
73,70,BUTYLPHTHALATE P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
77,74,1-CHLORO-2-METHYLBENZENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
77,74,1-CHLORO-3-METHYLBENZENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
77,74,1-CHLORO-4-METHYLBENZENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
77,74,CHLOROMETHYLBENZENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
78,75,CHLOROTOLUENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
78,75,3-CHLOROTOLUENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
78,75,2-CHLOROTOLUENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
78,75,4-CHLOROTOLUENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
78,75,CHLOROTOLUENES C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
78,75,CHLOROTOLUENES (MIXED ISOMERRS) C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
78,75,CHLORTOLUOLE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
80,77,COMPOUND 889 P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
80,77,CORFLEX 880 P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
85,82,DEHP P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
85,82,DEHYDOL A,LCOHOL ETHOXYLATES,10,ALCOHOL (C12-C15) POLY (20+) ETHOXYLATE,ALCOHOL ETHOXYLATES,number_only
85,82,DEHYDOL LS2 (COGNIS) A,LCOHOL ETHOXYLATES,10,ALCOHOL (C12-C15) POLY (20+) ETHOXYLATE,ALCOHOL ETHOXYLATES,number_only
85,82,DEP P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
85,82,DETERGENTALKYLATE L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
85,82,DETERGENTALKYLATE 12 L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
85,82,DETERGENT RANGE ALCOHOL A ETHOXYLATE,LCOHOL ETHOXYLATES,10,ALCOHOL (C12-C15) POLY (20+) ETHOXYLATE,ALCOHOL ETHOXYLATES,number_only
97,94,DOBANE L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
97,94,DOBANE 80 L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
97,94,DOBANE 83 L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
97,94,DODECYL BENZENE L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
97,94,DODECYLBENZENE L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
97,94,DODECYLETHYLENE O,LEFINS (C13+),296,1-HEXADECENE,OLEFINS (C13+),number_only
97,94,DOP P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
98,95,DPHP PH,THALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
116,113,FUSELOIL A,MYLALCOHOLS,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,number_only
117,114,GAMMA-PICOLINE P,ICOLINES,329,B-PICOLINE,PICOLINES,number_only
117,114,GENAPOL 26-L-2 A,LCOHOL ETHOXYLATES,10,ALCOHOL (C12-C15) POLY (20+) ETHOXYLATE,ALCOHOL ETHOXYLATES,number_only
117,114,GENOMALL 100 P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
137,134,KODAFLEX DOP P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
145,142,MESITYLEN T,RIMETHYLBENZENES,410,"1,2,4-TRIMETHYLBENZENE",TRIMETHYLBENZENES,number_only
145,142,MESITYLENE T,RIMETHYLBENZENES,410,"1,2,4-TRIMETHYLBENZENE",TRIMETHYLBENZENES,number_only
146,143,META-CHLOROMETHYLBENZENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
146,143,META-CHLOROTOLUENE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
146,143,META-PICOLIN P,ICOLINES,329,B-PICOLINE,PICOLINES,number_only
146,143,META-PICOLINE P,ICOLINES,329,B-PICOLINE,PICOLINES,number_only
146,143,META-TOLYLCHLORIDE C,HLOROTOLUENES,51,CHLOROTOLUENES (MIXED ISOMERRS),CHLOROTOLUENES,number_only
146,143,META-XYLENE X,YLENES,433,META-XYLENE,XYLENES,number_only
152,149,A-METHYLNAPHTHALENE M,ETHYLNAPHTHALENES,248,B-METHYLNAPHTHALENE,METHYLNAPHTHALENES,number_only
152,149,1-METHYLNAPHTHALENE M,ETHYLNAPHTHALENES,248,B-METHYLNAPHTHALENE,METHYLNAPHTHALENES,number_only
152,149,METHYL NAPHTHALENE (MOLTEN) M,ETHYLNAPHTHALENES,248,B-METHYLNAPHTHALENE,METHYLNAPHTHALENES,number_only
152,149,METHYLNAPHTHALENE MOLTEN M,ETHYLNAPHTHALENES,248,B-METHYLNAPHTHALENE,METHYLNAPHTHALENES,number_only
152,149,METHYLNAPHTHALENES M,ETHYLNAPHTHALENES,248,B-METHYLNAPHTHALENE,METHYLNAPHTHALENES,number_only
156,153,MOLLAN 0 P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
165,162,NOPINEN P,INENES,330,ALPHA-PINENE,PINENES,number_only
165,162,NOPINENE P,INENES,330,ALPHA-PINENE,PINENES,number_only
165,162,NORM-BUTYLACETATE B,UTYLACETATES,37,ISOBUTYLACETATE,BUTYLACETATES,number_only
166,163,NORM-HEXADEC-1-ENE O,LEFINS (C13+),296,1-HEXADECENE,OLEFINS (C13+),number_only
167,164,NORM-OCTAN O,CTANES,292,ISOOCTANE,OCTANES,number_only
167,164,NORM-OCTANE O,CTANES,292,ISOOCTANE,OCTANES,number_only
167,164,NORM-TETRADEC-1-ENE O,LEFINS (C13+),296,1-HEXADECENE,OLEFINS (C13+),number_only
167,164,NORM-TRIDEC-1-ENE O,LEFINS (C13+),296,1-HEXADECENE,OLEFINS (C13+),number_only
168,165,2-NP N,ITROPROPANES,268,1-NITROPROPANE,NITROPROPANES,number_only
168,165,NTM P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
168,165,NUOPLAST DOP P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
168,165,NUOPLAZ /PHT,HALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
178,175,2-PENTANOL A,MYLALCOHOLS,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,number_only
178,175,PENTYL ALCOHOL A,MYLALCOHOLS,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,number_only
178,175,PENTYLBENZENE L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
181,178,2-PINEN,PINENESCO,330,ALPHA-PINENE,PINENES,number_only
197,194,SOLVANOL P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
197,194,SOLVANOL-3 T,RIMETHYLBENZENES,410,"1,2,4-TRIMETHYLBENZENE",TRIMETHYLBENZENES,number_only
197,194,SOLVANOM P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
197,194,SOLVARONE P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
197,194,SOLVESSO 100 S,OLVESSOS,369,SOLVESSO 100,SOLVESSOS,number_only
197,194,SOLVESSO 150 S,OLVESSOS,369,SOLVESSO 100,SOLVESSOS,number_only
197,194,SOLVESSO 200 S,OLVESSOS,369,SOLVESSO 100,SOLVESSOS,number_only
197,194,SOMENTOR 32 S E,XXSOLS,154,EXXSOLD 100,EXXSOLS,number_only
211,208,UCANE 12 L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
212,209,UNDECYLBENZENE L,INEAR ALKYL BENZENES (LAB),219,ALKYL (C3-C4) BENZENES,LINEAR ALKYL BENZENES (LAB),number_only
212,209,UNDECYLETHYLENE O,LEFINS (C13+),296,1-HEXADECENE,OLEFINS (C13+),number_only
212,209,UNIMOL BB P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
218,215,WITCIZER 300 P,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
218,215,WITICIZER312 P wo,HTHALATES,328,BUTYLBENZYLPHTHALATE,PHTHALATES,number_only
